field_id,NDVI_total,NDVI_core,NDVI_edge,area_m2,shape_inde,core_area,total_area,edge_ratio,size_class,edge_effect,abs_edge_effect
6,0.1359272072956616,0.1160011642578858,0.1910301852987545,2621.2563827403064,1.558860969580761,1910.229617216864,2603.216924486009,0.2662042109325836,large,0.07502902104086871,0.07502902104086871
7,0.1407947621065277,0.1404332715519558,0.1416937317538939,1988.8497281284435,1.444908774912127,1444.535682558016,1982.9215667924448,0.2715114370889198,large,0.0012604602019380962,0.0012604602019380962
8,0.0627779889723789,0.0560719859134823,0.0810771264765006,3255.1192449605783,1.792675614704242,2377.128139691429,3243.476382174308,0.2671048407332969,large,0.0250051405630183,0.0250051405630183
9,0.2265357358621902,0.2268355139349201,0.2259751884504597,2078.923855475028,1.884206301724876,1362.993477882646,2090.154990642028,0.3478983692668751,large,-0.0008603254844604113,0.0008603254844604113
19,-0.1062779272499879,-0.1067899455760096,-0.1047289310563668,1805.2982599084307,1.262901190111833,1341.2748537321645,1783.782981220574,0.2480728497508247,large,0.002061014519642801,0.002061014519642801
23,0.4282895095142753,0.4280535714446098,0.4287902250589662,1897.0273588598432,1.512641522954079,1328.6077756730256,1883.5679950773592,0.2946324320941443,large,0.0007366536143563751,0.0007366536143563751
24,0.3525257396201292,0.3539911883449527,0.3486271361652214,1625.382908975368,1.331207256916494,1180.5008964869423,1624.0000507305808,0.2730906036881734,large,-0.0053640521797312934,0.0053640521797312934
25,0.2318484673578663,0.2274269357109549,0.241285328359404,1805.5974252843616,1.635970571816093,1247.5708173068067,1828.9831008665635,0.3178882753396062,large,0.013858392648449097,0.013858392648449097
30,0.3403386429381491,0.3455132884536769,0.3277640739626029,1894.7234879227776,1.501783027324791,1335.7257467573538,1885.876156312523,0.291721387808882,large,-0.017749214491074028,0.017749214491074028
31,0.166724883327297,0.1609660015248458,0.1834567218084176,2259.488355128952,1.453025280481909,1672.8301349604767,2250.269825359489,0.2566090892263394,large,0.022490720283571797,0.022490720283571797
33,0.4143476777858894,0.4143788430068222,0.4142910387665388,1537.0283912336597,1.382145949312609,1086.7268073671094,1536.6144671370091,0.2927784876372549,large,-8.780424028342892e-05,8.780424028342892e-05
34,0.4549437192786498,0.457039026299616,0.4473544013253444,3067.223133841788,1.430501412996269,2431.1515179428197,3102.640342145583,0.2164249639513182,large,-0.009684624974271638,0.009684624974271638
37,0.0186871743627035,0.0068431474837427,0.0594348416266255,3611.513514575349,1.607401604011984,2798.1795589328326,3618.12543763532,0.2266217390291408,large,0.0525916941428828,0.0525916941428828
39,0.1311205635708696,0.1395423394479737,0.1072496219050947,1534.9689063839055,1.22654211807857,1119.5620455998344,1516.6535683492843,0.2618208475793465,large,-0.032292717542879004,0.032292717542879004
44,-0.0998858293593253,-0.1004451223535699,-0.0984173171786198,1626.4500485321762,1.331185628185224,1198.6853914171256,1647.5501711903198,0.2724437699210695,large,0.0020278051749500897,0.0020278051749500897
45,-0.0346584396075539,-0.0392277181813783,-0.0221919245671531,2714.525451129712,1.649759550868295,1994.8346760086783,2722.657602962213,0.267320770030603,large,0.017035793614225202,0.017035793614225202
47,-0.0571481536186816,-0.0601188470253846,-0.0510327121360144,2080.608339376596,1.782278318574185,1400.788441224588,2087.61060099419,0.3289991722797892,large,0.009086134889370198,0.009086134889370198
48,0.2389523846543985,0.2409506957230079,0.2348362999250514,1897.768707765392,1.680663920197835,1277.8712894510008,1897.671967493338,0.3266110732831453,large,-0.006114395797956501,0.006114395797956501
49,-0.1090310873367278,-0.109747150189192,-0.1065244449621037,4600.148215962791,1.761932476292068,3617.248623511483,4644.124733186158,0.2211129477933238,large,0.003222705227088299,0.003222705227088299
50,0.003875622093007,-0.001853817542909,0.0216434811049119,1990.2839543354744,1.308259137199315,1521.583790049672,2011.285525179172,0.2434769847438124,large,0.0234972986478209,0.0234972986478209
52,0.5188074049537438,0.5210579391659256,0.5149724792680361,813.1623457395108,1.309233497318021,520.0813067896851,826.0015498033981,0.3703627954288064,medium,-0.006085459897889445,0.006085459897889445
54,0.3895682398981966,0.3874593794369822,0.3936530242010467,1353.1253068209217,1.498825880691074,883.3843456042739,1346.3248687906976,0.3438549891767567,medium,0.0061936447640644765,0.0061936447640644765
55,0.0944486078098073,0.0802145173479491,0.1166559997630321,541.9868789190803,1.14232328909273,326.2721682163974,535.5655460704261,0.3907894736501719,medium,0.03644148241508301,0.03644148241508301
64,0.3384744774314175,0.3380123282188813,0.3389890062627871,542.2166487771331,1.383407612393304,289.61422117378527,549.1456921950421,0.4726095000105693,medium,0.000976678043905832,0.000976678043905832
65,0.4285200611640342,0.4278118232915258,0.4293781987914484,451.2362141944005,1.251258108289344,238.14919992147264,445.9816415136542,0.4660112037051609,medium,0.001566375499922612,0.001566375499922612
66,0.1955030387749313,0.1706369525622486,0.2240378561521136,542.417370438924,1.383394495429811,292.44968663432275,549.622889271853,0.4679084653447318,medium,0.05340090358986502,0.05340090358986502
68,0.4645135712812252,0.4650413881830809,0.4639148059792405,813.298564287881,1.719946196934306,426.85406180652296,835.2575992159453,0.4889551891449895,medium,-0.001126582203840376,0.001126582203840376
70,0.4437602700782699,0.4448451421614447,0.4420001374182051,903.3379950149464,1.428789034416988,544.4668101466809,892.496073615312,0.3899504700999282,medium,-0.002845004743239621,0.002845004743239621
72,0.1483932291383797,0.1468127309483943,0.1500669126738013,633.0637659389024,1.503844003962545,321.5139025042867,629.8866560845194,0.4895686400107746,medium,0.0032541817254069794,0.0032541817254069794
75,0.4005687073954456,0.4025050210008203,0.3977060248663044,1083.463859521238,1.615431379855679,668.3693463513082,1111.0703536758226,0.3984455222478931,medium,-0.004798996134515898,0.004798996134515898
78,0.3815374232600162,0.377560112550446,0.3862361897637834,361.09006541189,1.129574015510193,192.48057215056653,356.6444072465136,0.4603011620548883,medium,0.008676077213337352,0.008676077213337352
82,0.0160729393851232,0.0107648391676036,0.0257639929920717,722.893480854168,1.198062932195687,478.95763924786746,741.2666438875456,0.3538659223407223,medium,0.0149991538244681,0.0149991538244681
89,0.3027727878329777,0.2994242960043501,0.3051776892552941,360.8341832359092,1.425066678928589,151.89713480377688,365.3139554854304,0.5842011165384157,medium,0.005753393250943983,0.005753393250943983
