system:index,area_m2,chunk_id,confiden_1,confiden_2,confidence,field_id,label,mean,perimeter_,shape_inde,size_class,time,.geo
00000000000000000005,2621.2563827403064,N24E091,0.466545552015305,0.466545552015305,0.466545552015305,6,field,0.13316693686616063,282.92222568152727,1.558860969580761,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.70308088772897,24.743890632881023],[91.70308088772897,24.74380143771537],[91.70317451260212,24.743801466129682],[91.70317451260212,24.743712270945128],[91.7035312088962,24.743712313646814],[91.7035312088962,24.74380141826618],[91.7037096323302,24.74380148371962],[91.7037096323302,24.74397978343419],[91.70362038342734,24.743979796436925],[91.70362038342734,24.74415818662288],[91.70326368640106,24.744158144199456],[91.70326368640106,24.74406903965916],[91.70299171430526,24.744069034926127],[91.70299171430526,24.743890644654915],[91.70308088772897,24.743890632881023]],[[91.70335286038306,24.74389063746446],[91.7034420345481,24.743890625468214],[91.7034420345481,24.74397982060002],[91.70335286038306,24.743979832599205],[91.70335286038306,24.74389063746446]]]}"
00000000000000000006,1988.8497281284435,N24E091,0.449589788913727,0.439264923334122,0.449589788913727,7,field,0.13437286857880795,228.42642649305387,1.444908774912127,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.69401106330011,24.724578266029656],[91.69401106330011,24.724756666381243],[91.69418944762484,24.72475665425161],[91.69418944762484,24.724845854388796],[91.69427860297579,24.7248458486555],[91.69427860297579,24.724934958209438],[91.69436775850983,24.72493504297686],[91.69436775850983,24.72511335257187],[91.69401106330011,24.725113376263714],[91.69401106330011,24.725024176186253],[91.69392190849862,24.7250241817608],[91.69392190849862,24.724934981658564],[91.69382822939947,24.724935038006905],[91.69382822939947,24.724578237367208],[91.69401106330011,24.724578266029656]]]}"
00000000000000000007,3255.1192449605783,N24E091,0.494762808084488,0.485695123672485,0.494762808084488,8,field,0.07714063938269654,362.5685204278997,1.792675614704242,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.73955628015827,24.69619160601927],[91.73955628015827,24.69609796275625],[91.73964552856654,24.696098020615747],[91.73964552856654,24.696008814973677],[91.73973470290751,24.69600878307317],[91.73973470290751,24.695919667976565],[91.73955628015827,24.695919642008572],[91.73955628015827,24.695830436320207],[91.73964552856654,24.695830403624573],[91.73964552856654,24.69574128848172],[91.7400022270257,24.695741251150462],[91.7400022270257,24.695830456845503],[91.73991305213708,24.69583048890465],[91.73991305213708,24.696008809671643],[91.7400022270257,24.69600877760653],[91.7400022270257,24.696097983236626],[91.73991305213708,24.696098015304734],[91.73991305213708,24.69663750515419],[91.73982387743102,24.69663753718549],[91.73982387743102,24.69654833168039],[91.73964552856654,24.696548395572407],[91.73964552856654,24.696459190039672],[91.73955628015827,24.696459222756378],[91.73955628015827,24.696370017198998],[91.73946265120102,24.69637000979391],[91.73946265120102,24.69619159860788],[91.73955628015827,24.69619160601927]]]}"
00000000000000000008,2078.923855475028,N24E091,0.453489154577255,0.453489154577255,0.453489154577255,9,field,0.2279054232417269,304.54584266371415,1.884206301724876,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.66454529335331,24.747212653670854],[91.66454529335331,24.74739548193971],[91.66472370475084,24.74739550295984],[91.66472370475084,24.747301870273102],[91.66463446189927,24.74730186019695],[91.66463446189927,24.74721266462371],[91.66472370475084,24.747212674702748],[91.66472370475084,24.74712347911037],[91.66481287366406,24.74712348995633],[91.66481287366406,24.747212685545836],[91.66499565939166,24.74721265792089],[91.66499565939166,24.74730185348252],[91.66490649010217,24.74730184275476],[91.66490649010217,24.74748467095472],[91.66499565939166,24.747484681676614],[91.66499565939166,24.747663072643615],[91.66463446189927,24.747663079405008],[91.66463446189927,24.74757388392092],[91.66454529335331,24.747573872979665],[91.66454529335331,24.747484677470688],[91.66445612499092,24.747484666471703],[91.66445612499092,24.747212642663122],[91.66454529335331,24.747212653670854]]]}"
00000000000000000012,1805.2982599084307,N24E091,0.489725857973099,0.489725857973099,0.489725857973099,19,field,-0.1056879641082552,190.216762767633,1.262901190111833,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.99665022990992,24.89489809095858],[91.99665022990992,24.894987237535265],[91.99673940399384,24.894987317494554],[91.99673940399384,24.895165610571993],[91.99665022990992,24.895165621123688],[91.99665022990992,24.895254858135374],[91.99656105600499,24.895254778130948],[91.99656105600499,24.89534401512303],[91.99638270873223,24.895344035962694],[91.99638270873223,24.895254798963744],[91.9962935353644,24.895254809296922],[91.9962935353644,24.894898132569352],[91.99665022990992,24.89489809095858]]]}"
00000000000000000016,1897.0273588598432,N24E091,0.445345818996429,0.445345818996429,0.445345818996429,23,field,0.4304072576454311,233.5488574712299,1.512641522954079,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.92802019867862,24.801653833338385],[91.92802019867862,24.801743006241015],[91.92810938386995,24.801743039895385],[91.92810938386995,24.802099731268836],[91.92802019867862,24.802099697627757],[91.92802019867862,24.802460915190085],[91.92793101366728,24.802460972037867],[91.92793101366728,24.802371708781386],[91.92784182883595,24.802371765570594],[91.92784182883595,24.801653856388057],[91.92802019867862,24.801653833338385]]]}"
00000000000000000017,1625.3829089753679,N24E091,0.504956603050232,0.504956603050232,0.504956603050232,24,field,0.35884861782722666,190.25165915307076,1.331207256916494,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.74485373483701,24.865343206334487],[91.74485373483701,24.865253952544315],[91.74512574594765,24.865253959284498],[91.74512574594765,24.865343213065515],[91.74521493150529,24.86534317211195],[91.74521493150529,24.865610752266843],[91.7450321050215,24.865610704882073],[91.7450321050215,24.86569986805387],[91.744942919838,24.865699908906308],[91.744942919838,24.86561074573152],[91.74485373483701,24.865610696004797],[91.74485373483701,24.865521532804173],[91.74476455001854,24.865521573540306],[91.74476455001854,24.865343156543563],[91.74485373483701,24.865343206334487]]]}"
00000000000000000018,1805.5974252843619,N24E091,0.492122769355774,0.492122769355774,0.492122769355774,25,field,0.22461804027637738,246.42847112632887,1.635970571816093,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.97275392460013,24.875670452031102],[91.97275392460013,24.87558129956947],[91.97284752938216,24.875581245749295],[91.97284752938216,24.87567048871747],[91.97293673029534,24.87567049272914],[91.97293673029534,24.87558124976435],[91.97311513266007,24.875581257628074],[91.97311513266007,24.87549210515729],[91.9732934610968,24.875492113787413],[91.9732934610968,24.875670418692547],[91.97320425946596,24.87567041490269],[91.97320425946596,24.875764092827357],[91.97311513266007,24.875764088004214],[91.97311513266007,24.875853240405206],[91.97302593138798,24.87585323651142],[91.97302593138798,24.87594247940294],[91.97275392460013,24.875942434780278],[91.97275392460013,24.875764129973742],[91.97266472405471,24.875764125851976],[91.97266472405471,24.87567044790577],[91.97275392460013,24.875670452031102]]]}"
0000000000000000001d,1894.7234879227776,N24E091,0.469112813472748,0.435738116502762,0.465049415826797,30,field,0.337927761827522,231.73148419434168,1.501783027324791,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.77512658737567,24.96622140637567],[91.77512658737567,24.9665825654349],[91.77521575996974,24.966582593840183],[91.77521575996974,24.966939318332944],[91.77503741496365,24.966939351984706],[91.77503741496365,24.966850125644104],[91.77494816842355,24.966850188511696],[91.77494816842355,24.966404237426882],[91.77485899637578,24.966404208849386],[91.77485899637578,24.96622141216511],[91.77512658737567,24.96622140637567]]]}"
0000000000000000001e,2259.488355128952,N24E091,0.460326433181763,0.460326433181763,0.460326433181763,31,field,0.18384921804255966,244.84044274607547,1.453025280481909,large,2025/01/01 00:00:00,"{""type"":""Polygon"",""coordinates"":[[[91.7299425058176,24.753682831117263],[91.7299425058176,24.753593639258327],[91.73003166029088,24.753593611409954],[91.73003166029088,24.75368280326592],[91.73030365308452,24.753682848467616],[91.73030365308452,24.753772040292436],[91.73048203792739,24.753771983231065],[91.73048203792739,24.753861175027897],[91.73057119350565,24.7538611468382],[91.73057119350565,24.754039530359773],[91.73012088918053,24.754039541698486],[91.73012088918053,24.753950349933707],[91.7299425058176,24.75395040656175],[91.7299425058176,24.753861214768975],[91.7298532772936,24.753861152873746],[91.7298532772936,24.75368285976615],[91.7299425058176,24.753682831117263]]]}"
