threshold,total_opportunities,valid_observations,invalid_observations,availability_pct
50,126,47,79,37.301587301587304
60,126,45,81,35.714285714285715
70,126,42,84,33.33333333333333
80,126,38,88,30.158730158730158
90,126,32,94,25.396825396825395
