threshold,total_opportunities,valid_observations,unavailable_observations,availability_pct,observation_loss_pct
50,126,47,79,37.301587301587304,62.698412698412696
60,126,45,81,35.714285714285715,64.28571428571429
70,126,42,84,33.33333333333333,66.66666666666666
80,126,38,88,30.158730158730158,69.84126984126983
90,126,32,94,25.396825396825395,74.60317460317461
