field_id,area_m2,perimeter_m,shape_index,size_class
1,2343.0353450519233,324.0055975810208,1.8882442078836716,large
2,1532.572200886556,244.47219994065637,1.761627481852831,large
3,3877.0016896971656,327.61068552102853,1.4842434168179386,large
4,1712.713074762874,191.86809176947574,1.3078427153399266,large
5,1531.7054727490665,246.17539207134723,1.7744022283990477,large
6,2621.2563827403064,282.92222568152727,1.5588609695807614,large
7,1988.8497281284435,228.42642649305387,1.4449087749121274,large
8,3255.1192449605783,362.5685204278997,1.7926756147042417,large
9,2078.923855475028,304.54584266371415,1.8842063017248762,large
10,2075.8387081277015,268.03838469170717,1.659568783070911,large
11,2343.9374788358646,332.9074868574201,1.939749365926362,large
12,4238.093849046875,373.17472613980664,1.6170446281263748,large
13,1802.8111997784151,190.091923316297,1.2629425898997577,large
14,2796.1592683619115,262.69059618451774,1.401388797945721,large
15,1533.2431429970152,193.66454092999908,1.3952102659946934,large
16,2524.8782023173603,398.38040336914094,2.236520166331316,large
17,1803.5180874222951,204.7236784524522,1.3598872225824064,large
18,1982.880216295779,277.1253003101999,1.755589621947931,large
19,1805.2982599084307,190.216762767633,1.2629011901118328,large
20,1532.4914817211159,170.20103507057487,1.226473673126555,large
21,1711.8915496432157,209.94754770431373,1.4314222056426966,large
22,1712.8009361110717,240.91923873447627,1.6421510576834388,large
23,1897.0273588598432,233.5488574712299,1.512641522954079,large
24,1625.3829089753679,190.25165915307076,1.331207256916494,large
25,1805.5974252843619,246.42847112632887,1.6359705718160928,large
26,3423.686050535273,305.8600827888089,1.4745887052452722,large
27,1622.9926343124819,190.1171565447038,1.3312453499139942,large
28,1807.0421045169223,241.34040458312458,1.6015517211863453,large
29,2436.353625880548,286.15713207103875,1.6354206619334282,large
30,1894.7234879227776,231.73148419434168,1.5017830273247905,large
31,2259.488355128952,244.84044274607547,1.453025280481909,large
32,2347.8153230407675,228.30253795382043,1.3291495269172529,large
33,1537.0283912336597,192.08779981022144,1.3821459493126087,large
34,3067.2231338417882,280.84449064073505,1.4305014129962688,large
35,1533.16501380892,173.77759932427068,1.2519714091652618,large
36,4697.607565669051,380.58106562630024,1.5664043449461778,large
37,3611.5135145753484,342.43169185161656,1.607401604011984,large
38,3336.757327252867,298.91226782139313,1.4597433185539523,large
39,1534.9689063839055,170.34805891620275,1.2265421180785696,large
40,3153.9422872063724,407.14216366893174,2.045098721531564,large
41,1981.8323536808114,213.5013799599348,1.3528894103546807,large
42,2974.697606214728,297.051931670314,1.5364061498069868,large
43,1531.489755412911,170.14148093019614,1.2264454280901602,large
44,1626.4500485321762,190.31101132147506,1.3311856281852237,large
45,2714.525451129712,304.7000617585767,1.6497595508682954,large
46,1983.0693054206333,244.45424513979603,1.548544554389763,large
47,2080.6083393765957,288.1878210490796,1.7822783185741846,large
48,1897.7687077653916,259.541882054551,1.6806639201978348,large
49,4600.148215962791,423.6235594875384,1.7619324762920683,large
50,1990.2839543354744,206.89796997966255,1.308259137199315,large
51,450.9517658500596,94.18981700453503,1.2512208570294228,medium
52,813.1623457395108,132.34595447447327,1.3092334973180206,medium
53,1083.5903430613046,191.9917322891101,1.6452997516871704,medium
54,1353.1253068209217,195.44525171963772,1.4988258806910737,medium
55,541.9868789190803,94.27322180553935,1.1423232890927302,medium
56,541.3110525785472,133.99624303497382,1.6246665633338757,medium
57,1355.110590307006,192.02463898299865,1.4715148716895612,medium
58,361.2067927280643,76.10140670466403,1.1295612833080264,medium
59,811.7229638076199,114.08618941490485,1.129598810313774,medium
60,901.7691059469084,150.33805017238078,1.4122653539362595,medium
61,811.1672195980414,153.84173786429213,1.5237511601244842,medium
62,451.28160757993277,95.97707319832006,1.2744968111155281,medium
63,901.1795893081994,211.7454221976418,1.9897725006822113,medium
64,542.2166487771331,114.19353502218902,1.3834076123933037,medium
65,451.23621419440053,94.22232363044498,1.2512581082893444,medium
66,542.417370438924,114.21358661720414,1.3833944954298107,medium
67,902.703448270043,132.2829571449797,1.242013773778256,medium
68,813.298564287881,173.87806416778903,1.7199461969343057,medium
69,1171.1438660454887,208.15054367929537,1.7158032792689424,medium
70,903.3379950149463,152.22927503781816,1.4287890344169882,medium
71,360.32149311919835,95.90865806199406,1.4253049656884849,medium
72,633.0637659389024,134.1317062148521,1.5038440039625447,medium
73,812.3033469449473,135.76981681930215,1.3438140538487902,medium
74,360.3595536960404,94.12817147624584,1.3987711619644307,medium
75,1083.463859521238,188.4953588909628,1.6154313798556788,medium
76,360.63945122167524,76.0443747619066,1.1296022394507952,medium
77,721.7139586166248,155.64754429585045,1.6343865833811364,medium
78,361.09006541188995,76.0899669364429,1.1295740155101932,medium
79,722.3238470515514,152.19363200127873,1.5974437436645723,medium
80,540.8024280892812,114.05124135947769,1.3834891838692964,medium
81,1171.662862639696,153.8393840148778,1.2678307120801102,medium
82,722.893480854168,114.18832896630943,1.198062932195687,medium
83,902.0571023485836,148.60623890271947,1.3957739722593663,medium
84,811.0870822626044,132.16040766620193,1.3090694725940906,medium
85,360.2861230580785,76.008995177956,1.1296301930551462,medium
86,901.0571623216035,155.61066419369203,1.4623733125337746,medium
87,450.3910680661842,95.90858033743919,1.27484576588487,medium
88,812.0791179685941,150.39269562545772,1.4887529673433313,medium
89,360.8341832359092,95.96082081335868,1.425066678928589,medium
